ShortName,LongName,Council
LowerDee,Lower Deeside,Aberdeen City
Airyhal,Airyhall/Broomhill/Garthdee,Aberdeen City
HazleAsh,Hazlehead/Queens Cross/Countesswells,Aberdeen City
Kingswel,Kingswells/Sheddocksley/Summerhill,Aberdeen City
Midstock,Midstocket/Rosemount,Aberdeen City
TorFerry,Torry/Ferryhill,Aberdeen City
GeogHarb,George St/Harbour,Aberdeen City
Kincorth,Kincorth/Nigg/Cove,Aberdeen City
HiltWood,Hilton/Woodside/Stockethill,Aberdeen City
Tillydrn,Tillydrone/Seaton/Old Aberdeen,Aberdeen City
Nrthfild,Northfield/Mastrick North,Aberdeen City
DyceBuck,Dyce/Bucksburn/Danestone,Aberdeen City
BrdgeDon,Bridge of Don,Aberdeen City
Aboyne,Aboyne Place,Aberdeenshire
Alford,Alford Place,Aberdeenshire
Banchory,Banchory Place,Aberdeenshire
Laurncrk,Laurencekirk (Mearns) Place,Aberdeenshire
Stonehvn,Stonehaven Place,Aberdeenshire
Portlthn,Portlethen Place,Aberdeenshire
Invrurie,Inverurie Place,Aberdeenshire
Kemnay,Kemnay Place,Aberdeenshire
Oldmldrm,Oldmeldrum Place,Aberdeenshire
Westhill,Westhill Place,Aberdeenshire
Ellon,Ellon Place,Aberdeenshire
Turriff,Turriff Place,Aberdeenshire
Huntly,Huntly Place,Aberdeenshire
Banff,Banff Place,Aberdeenshire
Frasbrgh,Fraserburgh Place,Aberdeenshire
Mintlaw,Mintlaw Place,Aberdeenshire
Peterhd,Peterhead Place,Aberdeenshire
Monifiet,Monifieth and Sidlaw,Angus
Carnoust,Carnoustie and District,Angus
ArbrWLaF,"Arbroath West, Letham and Friockheim",Angus
ArbroEaL,Arbroath East and Lunan,Angus
Montrose,Montrose and District,Angus
Brechina,Brechin and Edzell,Angus
Forfaran,Forfar and District,Angus
Kirriemu,Kirriemuir and Dean,Angus
CollTire,Coll and Tiree,Argyll and Bute
MulIona,Mull and Iona,Argyll and Bute
Lorn,Lorn and the Inner Isles,Argyll and Bute
MidArgyl,Mid Argyll,Argyll and Bute
IslJurCo,"Islay, Jura and Colonsay",Argyll and Bute
Kintyre,Kintyre,Argyll and Bute
Bute,Bute,Argyll and Bute
Cowal,Cowal,Argyll and Bute
HelenLom,Helensburgh and Lomond,Argyll and Bute
ClackmaW,Clackmannanshire West,Clackmannanshire
ClackmaN,Clackmannanshire North,Clackmannanshire
ClackmaC,Clackmannanshire Central,Clackmannanshire
ClackmaE,Clackmannanshire East,Clackmannanshire
ClackmaS,Clackmannanshire South,Clackmannanshire
Stranrae,Stranraer and the Rhins,Dumfries and Galloway
MidGallo,Mid Galloway and Wigtown West,Dumfries and Galloway
DeeandGl,Dee and Glenkens,Dumfries and Galloway
CastleDo,Castle Douglas and Crocketford,Dumfries and Galloway
Abbey,Abbey,Dumfries and Galloway
MidandUp,Mid and Upper Nithsdale,Dumfries and Galloway
AnnandaN,Annandale North,Dumfries and Galloway
Lochar,Lochar,Dumfries and Galloway
NorthWes,North West Dumfries,Dumfries and Galloway
AnnandaS,Annandale South,Dumfries and Galloway
Nith,Nith,Dumfries and Galloway
AnnandaE,Annandale East and Eskdale ,Dumfries and Galloway
WestEnd,West End,Dundee City
Coldside,Coldside,Dundee City
MaryFiel,Maryfield,Dundee City
EastEnd,East End,Dundee City
TheFerry,The Ferry,Dundee City
NorthEaD,North East,Dundee City
Strathma,Strathmartine,Dundee City
Lochee,Lochee,Dundee City
DoonVall,Doon Valley,East Ayrshire
Cumnocka,Cumnock and New Cumnock,East Ayrshire
Ballochm,Ballochmyle,East Ayrshire
IrvineVa,Irvine Valley,East Ayrshire
Annick,Annick,East Ayrshire
KilmaEaH,Kilmarnock East and Hurlford,East Ayrshire
KilmarnS,Kilmarnock South,East Ayrshire
KilmaWaC,Kilmarnock West and Crosshouse,East Ayrshire
KimlarnN,Kilmarnock North,East Ayrshire
Milngavi,Milngavie,East Dunbartonshire
BearsdN,Bearsden North,East Dunbartonshire
BearsdS,Bearsden South,East Dunbartonshire
BishoNaC,Bishopbriggs North and Campsie,East Dunbartonshire
BishopbS,Bishopbriggs South,East Dunbartonshire
Lenziean,Lenzie and Kirkintilloch South,East Dunbartonshire
Kirkinti,Kirkintilloch East and North and Twechar,East Dunbartonshire
TranentW,"Tranent, Wallyford and Macmerry",East Lothian
Musselbu,Musselburgh,East Lothian
PrestonS,"Preston, Seton and Gosford",East Lothian
Haddingt,Haddington and Lammermuir,East Lothian
NorthBer,North Berwick Coastal,East Lothian
Dunbaran,Dunbar and East Linton,East Lothian
Lev_Vall,Levern Valley,East Renfrewshire
