"Council.Name","Area.Name","Year","Measure","Value"
"Aberdeen City","AberCity","2002","Life Expectancy - Persons",76.9
"Aberdeen City","AberCity","2003","Life Expectancy - Persons",77.1
"Aberdeen City","AberCity","2004","Life Expectancy - Persons",77.5
"Aberdeen City","AberCity","2005","Life Expectancy - Persons",77.1
"Aberdeen City","AberCity","2006","Life Expectancy - Persons",77.7
"Aberdeen City","AberCity","2007","Life Expectancy - Persons",77.5
"Aberdeen City","AberCity","2008","Life Expectancy - Persons",78
"Aberdeen City","AberCity","2009","Life Expectancy - Persons",78.1
"Aberdeen City","AberCity","2010","Life Expectancy - Persons",78.4
"Aberdeen City","AberCity","2011","Life Expectancy - Persons",78.9
"Aberdeen City","AberCity","2012","Life Expectancy - Persons",79.2
"Aberdeen City","AberCity","2013","Life Expectancy - Persons",78.8
"Aberdeen City","AberCity","2014","Life Expectancy - Persons",79.1
"Aberdeen City","AberCity","2015","Life Expectancy - Persons",78.1
"Aberdeen City","AberCity","2016","Life Expectancy - Persons",78.7
"Aberdeen City","AberCity","2017","Life Expectancy - Persons",79
"Aberdeen City","AberCity","2018","Life Expectancy - Persons",78.2
"Aberdeen City","AberCity","2019","Life Expectancy - Persons",78.9
"Aberdeen City","AberCity","2020","Life Expectancy - Persons",78.8
"Aberdeen City","AberCity","2021","Life Expectancy - Persons",79
"Aberdeen City","AberCity","2022","Life Expectancy - Persons",78.9
"Aberdeen City","AberCity","2023","Life Expectancy - Persons",79.2
"Aberdeen City","AberCity","2024","Life Expectancy - Persons",79.2
"Aberdeen City","AberCity","2025","Life Expectancy - Persons",79.3
"Aberdeen City","AberCity","2026","Life Expectancy - Persons",79.5
"Aberdeen City","AberCity","2027","Life Expectancy - Persons",79.6
"Aberdeen City","AberCity","2028","Life Expectancy - Persons",79.7
"Aberdeen City","AberCity","2029","Life Expectancy - Persons",79.9
"Aberdeen City","AberCity","2030","Life Expectancy - Persons",79.9
"Aberdeen City","AberCity","2002","Natural Change",-202
"Aberdeen City","AberCity","2003","Natural Change",-108
"Aberdeen City","AberCity","2004","Natural Change",-112
"Aberdeen City","AberCity","2005","Natural Change",-58
"Aberdeen City","AberCity","2006","Natural Change",37
"Aberdeen City","AberCity","2007","Natural Change",209
"Aberdeen City","AberCity","2008","Natural Change",313
"Aberdeen City","AberCity","2009","Natural Change",468
"Aberdeen City","AberCity","2010","Natural Change",552
"Aberdeen City","AberCity","2011","Natural Change",622
"Aberdeen City","AberCity","2012","Natural Change",632
"Aberdeen City","AberCity","2013","Natural Change",438
"Aberdeen City","AberCity","2014","Natural Change",532
"Aberdeen City","AberCity","2015","Natural Change",307
"Aberdeen City","AberCity","2016","Natural Change",440
"Aberdeen City","AberCity","2017","Natural Change",354
"Aberdeen City","AberCity","2018","Natural Change",72
"Aberdeen City","AberCity","2019","Natural Change",160
"Aberdeen City","AberCity","2020","Natural Change",106
"Aberdeen City","AberCity","2021","Natural Change",94
"Aberdeen City","AberCity","2022","Natural Change",25
"Aberdeen City","AberCity","2023","Natural Change",24
"Aberdeen City","AberCity","2024","Natural Change",-7
"Aberdeen City","AberCity","2025","Natural Change",-33
"Aberdeen City","AberCity","2026","Natural Change",-52
"Aberdeen City","AberCity","2027","Natural Change",-79
"Aberdeen City","AberCity","2028","Natural Change",-100
"Aberdeen City","AberCity","2029","Natural Change",-101
"Aberdeen City","AberCity","2030","Natural Change",-146
"Aberdeen City","AberCity","2002","Net Migration",-1006
"Aberdeen City","AberCity","2003","Net Migration",-1315
"Aberdeen City","AberCity","2004","Net Migration",-1352
"Aberdeen City","AberCity","2005","Net Migration",912
"Aberdeen City","AberCity","2006","Net Migration",923
"Aberdeen City","AberCity","2007","Net Migration",2650
"Aberdeen City","AberCity","2008","Net Migration",1258
"Aberdeen City","AberCity","2009","Net Migration",2476
"Aberdeen City","AberCity","2010","Net Migration",2167
"Aberdeen City","AberCity","2011","Net Migration",2096
"Aberdeen City","AberCity","2012","Net Migration",1842
"Aberdeen City","AberCity","2013","Net Migration",1733
"Aberdeen City","AberCity","2014","Net Migration",1425
"Aberdeen City","AberCity","2015","Net Migration",1123
"Aberdeen City","AberCity","2016","Net Migration",-950
"Aberdeen City","AberCity","2017","Net Migration",-1394
"Aberdeen City","AberCity","2018","Net Migration",-1312
"Aberdeen City","AberCity","2019","Net Migration",-73
"Aberdeen City","AberCity","2020","Net Migration",-149
"Aberdeen City","AberCity","2021","Net Migration",-43
"Aberdeen City","AberCity","2022","Net Migration",205
"Aberdeen City","AberCity","2023","Net Migration",326
"Aberdeen City","AberCity","2024","Net Migration",364
"Aberdeen City","AberCity","2025","Net Migration",411
"Aberdeen City","AberCity","2026","Net Migration",456
"Aberdeen City","AberCity","2027","Net Migration",488
"Aberdeen City","AberCity","2028","Net Migration",487
"Aberdeen City","AberCity","2029","Net Migration",496
"Aberdeen City","AberCity","2030","Net Migration",508
"Aberdeen City","AberCity","2002","Total Population",210680
"Aberdeen City","AberCity","2003","Total Population",209280
"Aberdeen City","AberCity","2004","Total Population",207820
"Aberdeen City","AberCity","2005","Total Population",208690
"Aberdeen City","AberCity","2006","Total Population",209630
"Aberdeen City","AberCity","2007","Total Population",212470
"Aberdeen City","AberCity","2008","Total Population",214020
