ShortName,LongName,Council
Airyhal ,Airyhall/Broomhill/Garthdee ,Aberdeen City
BrdgeDon ,Bridge of Don ,Aberdeen City
DyceBuck ,Dyce/Bucksburn / Danestone ,Aberdeen City
GeogHarb ,George St/Harbour ,Aberdeen City
HazleAsh ,Hazlehead / Ashley/Queens Cross ,Aberdeen City
HiltWood ,Hilton/Woodside/Stockethill ,Aberdeen City
Kincorth ,Kincorth/Nigg/Cove ,Aberdeen City
Kingswel ,Kingswells/Sheddocksley/Summerhill ,Aberdeen City
LowerDee ,Lower Deeside ,Aberdeen City
Midstock ,Midstocket/Rosemount ,Aberdeen City
Nrthfild ,Northfield / Mastrick North ,Aberdeen City
Tillydrn ,Tillydrone / Seaton/Old Aberdeen ,Aberdeen City
TorFerry ,Torry/Ferryhill ,Aberdeen City
AboyneUp,"Aboyne, Upper Deeside & Donside",Aberdeenshire
Banchory,Banchory & Mid Deeside,Aberdeenshire
Banffand,Banff & District,Aberdeenshire
CentralB,Central Buchan,Aberdeenshire
EastGari,East Garioch,Aberdeenshire
Ellonand,Ellon & District,Aberdeenshire
Fraserbu,Fraserburgh & District,Aberdeenshire
HuntlySt,"Huntly, Strathbogie & Howe of Alford",Aberdeenshire
Inveruri,Inverurie & District,Aberdeenshire
Mearns,Mearns,Aberdeenshire
MidForma,Mid Formartine,Aberdeenshire
NorthKin,North Kincardine,Aberdeenshire
PeterNaR,Peterhead North & Rattray,Aberdeenshire
PeterSaC,Peterhead South & Cruden,Aberdeenshire
Stonehav,Stonehaven & Lower Deeside,Aberdeenshire
Troup,Troup,Aberdeenshire
TurriffD,Turriff & District,Aberdeenshire
WestGari,West Garioch,Aberdeenshire
Westhill,Westhill & District,Aberdeenshire
ArbroEaL,Arbroath East & Lunan,Angus
ArbrWLaF,"Arbroath West, Letham & Friockheim",Angus
Brechina,Brechin & Edzell,Angus
Carnoust,Carnoustie & District,Angus
Forfaran,Forfar & District,Angus
Kirriemu,Kirriemuir & Dean,Angus
Monifiet,Monifieth & Sidlaw,Angus
Montrose,Montrose & District,Angus
Bute,Bute,Argyll & Bute
CollTire,Coll & Tiree,Argyll & Bute
Cowal,Cowal,Argyll & Bute
HelenLom,Helensburgh & Lomond,Argyll & Bute
IslJurCo,"Islay, Jura & Colonsay",Argyll & Bute
Kintyre,Kintyre,Argyll & Bute
Lorn,Lorn & the Inner Isles,Argyll & Bute
MidArgyl,Mid Argyll,Argyll & Bute
MulIona,Mull & Iona,Argyll & Bute
Almond,Almond,City of Edinburgh
CityCent,City Centre,City of Edinburgh
Colinton,Colinton/Fairmilehead,City of Edinburgh
Corstorp,Corstorphine/Murrayfield,City of Edinburgh
Craigent,Craigentinny/Duddingston,City of Edinburgh
DrumBrae,Drum Brae/Gyle,City of Edinburgh
Forth,Forth,City of Edinburgh
Fountain,Fountainbridge/Craiglockhart,City of Edinburgh
Inverlei,Inverleith,City of Edinburgh
Leith,Leith,City of Edinburgh
LeithWal,Leith Walk,City of Edinburgh
Liberton,Liberton/Gilmerton,City of Edinburgh
Mornings,Morningside,City of Edinburgh
Pentland,Pentland Hills,City of Edinburgh
Portobel,Portobello/Craigmillar,City of Edinburgh
Sighthil,Sighthill/Gorgie,City of Edinburgh
Southsid,Southside/Newington,City of Edinburgh
ClackmaC,Clackmannanshire Central,Clackmannanshire
ClackmaE,Clackmannanshire East,Clackmannanshire
ClackmaN,Clackmannanshire North,Clackmannanshire
ClackmaS,Clackmannanshire South,Clackmannanshire
ClackmaW,Clackmannanshire West,Clackmannanshire
Abbey,Abbey,Dumfries & Galloway
AnnandaE,Annandale East & Eskdale,Dumfries & Galloway
AnnandaN,Annandale North,Dumfries & Galloway
AnnandaS,Annandale South,Dumfries & Galloway
CastleDo,Castle Douglas & Crocketford,Dumfries & Galloway
DeeandGl,Dee & Glenkens,Dumfries & Galloway
Lochar,Lochar,Dumfries & Galloway
MidandUp,Mid & Upper Nithsdale,Dumfries & Galloway
MidGallo,Mid Galloway & Wigtown West,Dumfries & Galloway
Nith,Nith,Dumfries & Galloway
NorthWes,North West Dumfries,Dumfries & Galloway
Stranrae,Stranraer & the Rhins,Dumfries & Galloway
Coldside,Coldside,Dundee City
EastEnd,East End,Dundee City
Lochee,Lochee,Dundee City
Maryfiel,Maryfield,Dundee City
NorthEaD,North East,Dundee City
Strathma,Strathmartine,Dundee City
TheFerry,The Ferry,Dundee City
WestEnd,West End,Dundee City
Annick ,Annick,East Ayrshire
Ballochm ,Ballochmyle,East Ayrshire
Cumnocka ,Cumnock & New Cumnock,East Ayrshire
DoonVall ,Doon Valley,East Ayrshire
IrvineVa ,Irvine Valley,East Ayrshire
KilmaEaH ,Kilmarnock East & Hurlford,East Ayrshire
KilmarnN ,Kilmarnock North,East Ayrshire
KilmarnS ,Kilmarnock South,East Ayrshire
KilmaWaC ,Kilmarnock West & Crosshouse,East Ayrshire
BearsdN ,Bearsden North,East Dunbartonshire
BearsdS ,Bearsden South,East Dunbartonshire
BishoNaC ,Bishopbriggs North & Campsie,East Dunbartonshire
BishopbS ,Bishopbriggs South,East Dunbartonshire
Kirkinti ,Kirkintilloch East & North & Twechar,East Dunbartonshire
Lenziean ,Lenzie & Kirkintilloch South,East Dunbartonshire
Milngavi ,Milngavie,East Dunbartonshire
Dunbaran,Dunbar & East Linton,East Lothian
Haddingt,Haddington & Lammermuir,East Lothian
Musselbu,Musselburgh,East Lothian
NorthBer,North Berwick Coastal,East Lothian
PrestonS,"Preston, Seton & Gosford",East Lothian
TranentW,"Tranent, Wallyford & Macmerry",East Lothian
Ewd_N_EW,"Eastwood North, Eaglesham & Waterfoot",East Renfrewshire
Lev_Vall,Levern Valley,East Renfrewshire
N_Mearns,Newton Mearns,East Renfrewshire
BonessBn,Bo'ness & Blackness,Falkirk
Bonnybri,Bonnybridge & Larbert,Falkirk
CarseKin,"Carse, Kinnaird & Tryst",Falkirk
Dennyand,Denny & Banknock,Falkirk
FalkirkN,Falkirk North,Falkirk
FalkirkS,Falkirk South,Falkirk
Grangemo,Grangemouth,Falkirk
LoBraes,Lower Braes,Falkirk
UpBraes,Upper Braes,Falkirk
Buckhave,"Buckhaven, Methil & Wemyss Villages",Fife
Burntisl,"Burntisland, Kinghorn & Western Kirkcaldy",Fife
Cowdenbe,Cowdenbeath,Fife
Cupar,Cupar,Fife
DunfermC,Dunfermline Central,Fife
DunfermN,Dunfermline North,Fife
DunfermS,Dunfermline South,Fife
EastNeuk,East Neuk & Landward,Fife
GlenCaT,Glenrothes Central & Thornton,Fife
GlenNLaM,"Glenrothes North, Leslie & Markinch",Fife
GlenrWaK,Glenrothes West & Kinglassie,Fife
HoweofFi,Howe of Fife & Tay Coast,Fife
Inverkei,Inverkeithing & Dalgety Bay,Fife
KirkcalC,Kirkcaldy Central,Fife
KirkcalE,Kirkcaldy East,Fife
KirkcalN,Kirkcaldy North,Fife
LevenKen,"Leven, Kennoway & Largo",Fife
Lochgell,"Lochgelly, Cardenden & Benarty",Fife
Rosyth,Rosyth,Fife
StAndrew,St. Andrews,Fife
TayBridg,Tay Bridgehead,Fife
WestFife,West Fife & Coastal Villages,Fife
Andersto,Anderston/City/Yorkhill,Glasgow City
Baillies,Baillieston,Glasgow City
Calton,Calton,Glasgow City
Canal,Canal,Glasgow City
Cardonal,Cardonald,Glasgow City
Dennisto,Dennistoun,Glasgow City
Drumchap,Drumchapel/Anniesland,Glasgow City
EastCent,East Centre,Glasgow City
Garscadd,Garscadden/Scotstounhill,Glasgow City
Govan,Govan,Glasgow City
GreaterP,Greater Pollok,Glasgow City
Hillhead,Hillhead,Glasgow City
Langside,Langside,Glasgow City
Linn,Linn,Glasgow City
Maryhill,Maryhill,Glasgow City
Newlands,Newlands/Auldburn,Glasgow City
NorthEaG,North East,Glasgow City
PartickE,Partick East/Kelvindale,Glasgow City
Polloksh,Pollokshields,Glasgow City
Shettles,Shettleston,Glasgow City
SouthsiC,Southside Central,Glasgow City
Springbu,Springburn/Robroyston,Glasgow City
Victoria,Victoria Park,Glasgow City
BS,Badenoch & Strathspey,Highland
CA,Caithness,Highland
ER,East Ross,Highland
IN,Inverness,Highland
LO,Lochaber,Highland
MR,Mid Ross,Highland
NA,Nairn,Highland
RCW,Ross & Cromarty West,Highland
SL,Skye & Lochalsh,Highland
SU,Sutherland,Highland
InvercEC,Inverclyde East Central,Inverclyde
InverclC,Inverclyde Central,Inverclyde
InverclE,Inverclyde East,Inverclyde
InverclN,Inverclyde North,Inverclyde
InverclS,Inverclyde South,Inverclyde
InverclW,Inverclyde West,Inverclyde
InvercSW,Inverclyde South West,Inverclyde
Bonnyrig,Bonnyrigg,Midlothian
Dalkeith,Dalkeith,Midlothian
MidlothE,Midlothian East,Midlothian
MidlothS,Midlothian South,Midlothian
MidlothW,Midlothian West,Midlothian
Penicuik,Penicuik,Midlothian
Buckie,Buckie,Moray
ElginCN,Elgin City North,Moray
ElginCS,Elgin City South,Moray
Fochaber,Fochabers Lhanbryde,Moray
